Date	Open	High	Low	Close	Volume	Adj Close	year#	Month	Day	Year
3/1/2013	37.46	38.01	37.15	37.85	13927900	37.85	2013.161643835616	3	1	2013
2/28/2013	37.85	38.46	37.73	38.01	16426800	38.01	2013.158904109589	2	28	2013
2/27/2013	37.74	37.9	37.39	37.77	15280700	37.77	2013.156164383562	2	27	2013
2/26/2013	37.46	37.79	36.68	37.69	27979500	37.69	2013.153424657534	2	26	2013
2/25/2013	38.89	38.93	36.86	37.06	26898300	37.06	2013.150684931507	2	25	2013
2/22/2013	39.29	39.53	37.86	38.45	47610600	38.45	2013.142465753425	2	22	2013
2/21/2013	37.36	37.61	36.82	37.28	24540400	37.28	2013.139726027397	2	21	2013
2/20/2013	38.6	38.68	37.5	37.57	19869300	37.57	2013.136986301370	2	20	2013
2/19/2013	38.36	38.93	38.1	38.6	15838200	38.6	2013.134246575343	2	19	2013
2/15/2013	39.31	39.31	38.32	38.35	20563400	38.35	2013.123287671233	2	15	2013
2/14/2013	38.64	39.26	38.5	39.21	18322000	39.21	2013.120547945206	2	14	2013
2/13/2013	38.93	39.18	38.56	38.87	16533800	38.87	2013.117808219178	2	13	2013
2/12/2013	39.5	39.9	38.5	38.63	25676800	38.63	2013.115068493151	2	12	2013
2/11/2013	38.89	39.56	38.65	39.45	14231600	39.45	2013.112328767123	2	11	2013
2/8/2013	38.76	39.03	38.51	38.79	13107500	38.79	2013.104109589041	2	8	2013
2/7/2013	38.84	38.94	38.07	38.64	13559100	38.64	2013.101369863014	2	7	2013
2/6/2013	38.49	39	38.32	38.75	14232600	38.75	2013.098630136986	2	6	2013
2/5/2013	38.48	39.02	38.17	38.75	17610300	38.75	2013.095890410959	2	5	2013
2/4/2013	38.55	38.64	38.15	38.19	18772500	38.19	2013.093150684932	2	4	2013
2/1/2013	38.19	39.13	38.15	38.86	22196300	38.86	2013.084931506849	2	1	2013
1/31/2013	37.55	38.05	37.39	37.83	13588100	37.83	2013.082191780822	1	31	2013
1/30/2013	37.8	38	37.52	37.67	17981100	37.67	2013.079452054795	1	30	2013
1/29/2013	37.43	38.05	37.41	37.82	23853800	37.82	2013.076712328767	1	29	2013
1/28/2013	37.09	37.51	36.81	37.3	22224000	37.3	2013.073972602740	1	28	2013
1/25/2013	36.75	36.86	36.33	36.7	13145300	36.7	2013.065753424657	1	25	2013
1/24/2013	36.54	37.12	36.49	36.6	22227900	36.6	2013.063013698630	1	24	2013
1/23/2013	35.92	36.52	35.65	36.46	18740900	36.46	2013.060273972603	1	23	2013
1/22/2013	35.08	36.01	35.08	35.91	18891100	35.91	2013.057534246575	1	22	2013
1/18/2013	35.29	35.33	34.7	35.09	19192200	35.09	2013.046575342466	1	18	2013
1/17/2013	35.57	35.81	35.14	35.21	17730800	35.21	2013.043835616438	1	17	2013
1/16/2013	34.61	35.66	34.56	35.54	17042800	35.54	2013.041095890411	1	16	2013
1/15/2013	34.81	35.1	34.6	34.84	13935400	34.84	2013.038356164383	1	15	2013
1/14/2013	35.2	35.33	34.56	35.05	18060100	35.05	2013.035616438356	1	14	2013
1/11/2013	35.92	36	35.08	35.23	17833500	35.23	2013.027397260274	1	11	2013
1/10/2013	35.79	35.95	35.46	35.8	18181000	35.8	2013.024657534247	1	10	2013
1/9/2013	35.8	36.1	35.52	35.76	14719000	35.76	2013.021917808219	1	9	2013
1/8/2013	35.85	35.92	35.28	35.65	16094700	35.65	2013.019178082192	1	8	2013
