Country	Occupation Class	Sex	Age Class	Education	Marital Status	Income (Globa)	Social Responsibility	Need help making financial decisions	Do not like to be in debt at anytime	Feel satistifed when I get a really good deal	Like to buy products with prestigious brand names	Always try to buy things on sale	Once find brand that satistifies, don't experiment	Confident will have enough money to retire	Have life insurance
China	Blue Collar	Male	40-49	Some high school	Married	High	6	Disagree Slightly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Yes
China		Male	13-19	Some high school	Single	High	5	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China	Executives/Professionals	Male	20-29	College	Married	Medium high	6	Disagree Strongly	Agree Strongly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Strongly	Agree Slightly	Agree Strongly	No
China	White Collar	Male	20-29	Primary or less	Single	Medium high	6	Agree Slightly	Agree Strongly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Strongly	Agree Slightly	Yes
China		Female	50-59	Primary or less	Married	Medium high	6	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Agree Strongly	No
China	White Collar	Male	20-29	Some high school	Single	High	3	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	No
China	White Collar	Male	50-59	College	Married	Medium high	6	Neither Agree nor Disagree	Agree Strongly	Disagree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Yes
China		Male	13-19	Some high school	Single	Medium high	5	Agree Strongly	Agree Strongly	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China		Male	30-39	Some high school	Married	Medium high	5	Disagree Slightly	Agree Slightly	Agree Slightly	Disagree Strongly	Agree Slightly	Agree Slightly	Disagree Slightly	No
China	Blue Collar	Female	30-39	Primary or less	Married	Medium high	6	Neither Agree nor Disagree	Agree Strongly	Disagree Slightly	Neither Agree nor Disagree	Agree Slightly	Disagree Slightly	Agree Slightly	Yes
China		Female	40-49	Primary or less	Married	Medium low	5	Neither Agree nor Disagree	Agree Strongly	Neither Agree nor Disagree	Disagree Strongly	Agree Strongly	Disagree Slightly	Neither Agree nor Disagree	No
China		Female	13-19	Some high school	Single	High	4	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Agree Slightly	Yes
China	Blue Collar	Female	40-49	Some high school	Single	Low	4	Neither Agree nor Disagree	Agree Slightly	Neither Agree nor Disagree	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Yes
China	White Collar	Male	20-29	College	Married	High	6	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Yes
China		Female	60+	Primary or less	Married	High	6	Agree Slightly	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Agree Slightly	Agree Strongly	No
China		Male	13-19	Some high school	Single	High	5	Agree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	No
China		Male	60+	Primary or less	Married	Medium high	4	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Neither Agree nor Disagree	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	No
China		Male	30-39	College	Married	Medium high	4	Agree Slightly	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Neither Agree nor Disagree	Disagree Strongly	No
China		Female	50-59	Primary or less	Married	Medium high	3	Disagree Slightly	Agree Slightly	Agree Slightly	Disagree Slightly	Agree Slightly	Agree Slightly	Neither Agree nor Disagree	No
