Date      ,CAPE
1871-01-01,NA
1871-02-01,NA
1871-03-01,NA
1871-04-01,NA
1871-05-01,NA
1871-06-01,NA
1871-07-01,NA
1871-08-01,NA
1871-09-01,NA
1871-10-01,NA
1871-11-01,NA
1871-12-01,NA
1872-01-01,NA
1872-02-01,NA
1872-03-01,NA
1872-04-01,NA
1872-05-01,NA
1872-06-01,NA
1872-07-01,NA
1872-08-01,NA
1872-09-01,NA
1872-10-01,NA
1872-11-01,NA
1872-12-01,NA
1873-01-01,NA
1873-02-01,NA
1873-03-01,NA
1873-04-01,NA
1873-05-01,NA
1873-06-01,NA
1873-07-01,NA
1873-08-01,NA
1873-09-01,NA
1873-10-01,NA
1873-11-01,NA
1873-12-01,NA
1874-01-01,NA
1874-02-01,NA
1874-03-01,NA
1874-04-01,NA
1874-05-01,NA
1874-06-01,NA
1874-07-01,NA
1874-08-01,NA
1874-09-01,NA
1874-10-01,NA
1874-11-01,NA
1874-12-01,NA
1875-01-01,NA
1875-02-01,NA
1875-03-01,NA
1875-04-01,NA
1875-05-01,NA
1875-06-01,NA
1875-07-01,NA
1875-08-01,NA
1875-09-01,NA
1875-10-01,NA
1875-11-01,NA
1875-12-01,NA
1876-01-01,NA
1876-02-01,NA
1876-03-01,NA
1876-04-01,NA
1876-05-01,NA
1876-06-01,NA
1876-07-01,NA
1876-08-01,NA
1876-09-01,NA
1876-10-01,NA
1876-11-01,NA
1876-12-01,NA
1877-01-01,NA
1877-02-01,NA
1877-03-01,NA
1877-04-01,NA
1877-05-01,NA
1877-06-01,NA
1877-07-01,NA
1877-08-01,NA
1877-09-01,NA
1877-10-01,NA
1877-11-01,NA
1877-12-01,NA
1878-01-01,NA
1878-02-01,NA
1878-03-01,NA
1878-04-01,NA
1878-05-01,NA
1878-06-01,NA
1878-07-01,NA
1878-08-01,NA
1878-09-01,NA
1878-10-01,NA
1878-11-01,NA
1878-12-01,NA
1879-01-01,NA
1879-02-01,NA
1879-03-01,NA
1879-04-01,NA
1879-05-01,NA
1879-06-01,NA
1879-07-01,NA
1879-08-01,NA
1879-09-01,NA
1879-10-01,NA
