# Sharpe er al. (2015), p. 78
# Table 3.1 Monthly stock price in dollars of AIG stock for the period 2002 through 2007
Year Month Price
2002  1    77.26
2002  2    72.95
2002  3    73.72
2002  4    71.57
2002  5    68.42
2002  6    65.99
2002  7    61.22
2002  8    64.10
2002  9    58.04
2002 10    60.26
2002 11    65.03
2002 12    59.96
2003  1    59.74
2003  2    49.57
2003  3    49.41
2003  4    54.38
2003  5    56.52
2003  6    57.88
2003  7    59.80
2003  8    61.51
2003  9    59.39
2003 10    60.93
2003 11    58.73
2003 12    62.37
2004  1    69.02
2004  2    73.25
2004  3    72.06
2004  4    74.21
2004  5    70.93
2004  6    72.61
2004  7    69.85
2004  8    69.58
2004  9    70.67
2004 10    62.31
2004 11    62.17
2004 12    65.33
2005  1    66.74
2005  2    68.96
2005  3    61.55
2005  4    51.77
2005  5    53.81
2005  6    55.66
2005  7    60.27
2005  8    60.86
2005  9    60.54
2005 10    62.64
2005 11    67.06
2005 12    66.72
2006  1    68.33
2006  2    67.02
2006  3    67.15
2006  4    64.29
2006  5    63.14
2006  6    59.74
2006  7    59.40
2006  8    62.00
2006  9    65.25
2006 10    67.02
2006 11    69.86
2006 12    71.35
2007  1    70.45
2007  2    68.99
2007  3    68.14
2007  4    68.25
2007  5    71.78
2007  6    71.75
2007  7    68.64
2007  8    61.21
2007  9    66.02
2007 10    66.12
2007 11    56.86
2007 12    58.13
